Cluster           [Fe/H]  e_[Fe/H]
FSR_0441          -0.153  0.094
FSR_0448           0.074  0.217
FSR_0451          -0.095  0.063
FSR_0494          -0.065  0.082
FSR_0496          -0.077  0.016
FSR_0498          -0.073  0.102
FSR_0524           0.168  0.259
FSR_0537          -0.116  0.090
FSR_0551          -0.038  0.147
FSR_0553          -0.013  0.160
FSR_0591          -0.187  0.139
FSR_0667           0.047  0.015
FSR_0674          -0.140  0.042
FSR_0686          -0.024  0.183
FSR_0716          -0.319  0.019
FSR_0728          -0.087  0.074
FSR_0735          -0.135  0.084
FSR_0761          -0.112  0.139
FSR_0771           0.099  0.138
FSR_0811          -0.100  0.042
FSR_0826          -0.142  0.021
FSR_0833          -0.172  0.155
FSR_0850          -0.086  0.077
FSR_0852          -0.193  0.072
FSR_0866          -0.060  0.077
FSR_0883          -0.185  0.019
FSR_0893          -0.097  0.097
FSR_0904          -0.100  0.090
FSR_0905          -0.077  0.093
FSR_0932          -0.142  0.058
FSR_0935          -0.172  0.087
FSR_0937          -0.334  0.074
FSR_0941          -0.221  0.014
FSR_0948          -0.255  0.135
FSR_0951          -0.069  0.070
FSR_0953          -0.121  0.025
FSR_0968          -0.100  0.091
FSR_0974           0.569  0.254
FSR_0977          -0.151  0.109
FSR_0979           0.318  0.344
FSR_0985          -0.091  0.022
FSR_1051          -0.089  0.069
FSR_1063          -0.116  0.010
Haffner_21        -0.089  0.049
FSR_1083          -0.103  0.076
FSR_1085          -0.145  0.093
FSR_1113          -0.256  0.090
FSR_1125          -0.101  0.157
FSR_1144          -0.117  0.089
FSR_1150           0.262  0.351
FSR_1163          -0.076  0.064
FSR_1170           0.136  0.185
FSR_1172          -0.153  0.087
FSR_1180          -0.112  0.056
FSR_1211          -0.185  0.098
FSR_1252          -0.102  0.107
FSR_1253          -0.084  0.097
FSR_1260          -0.066  0.125
FSR_1284          -0.076  0.092
FSR_1315           0.028  0.165
FSR_1335          -0.315  0.132
FSR_1342          -0.031  0.132
FSR_1352          -0.097  0.253
FSR_1360           0.122  0.142
FSR_1361          -0.052  0.115
FSR_1363          -0.058  0.142
FSR_1399           0.020  0.254
FSR_1402          -0.041  0.111
FSR_1407          -0.138  0.044
FSR_1443          -0.019  0.053
FSR_1484           0.165  0.106
FSR_1521           0.178  0.169
FSR_1663           0.088  0.141
FSR_1698           0.228  0.063
FSR_1723           0.083  0.063
Feibelman_1        0.140  0.255
Ferrero_1          0.087  0.068
Ferrero_11        -0.100  0.026
Graham_1          -0.003  0.217
Gulliver_1         0.009  0.121
Gulliver_10        0.134  0.106
Gulliver_11       -0.090  0.096
Gulliver_12        0.088  0.081
Gulliver_13       -0.050  0.080
Gulliver_14        0.170  0.194
Gulliver_15       -0.044  0.121
Gulliver_17        0.115  0.086
Gulliver_18        0.243  0.111
Gulliver_19        0.044  0.234
Gulliver_2        -0.038  0.121
Gulliver_20       -0.061  0.047
Gulliver_21        0.067  0.075
Gulliver_23        0.103  0.224
Gulliver_24        0.103  0.147
Gulliver_25       -0.029  0.115
Gulliver_26       -0.024  0.362
Gulliver_27        0.022  0.085
Gulliver_28        0.152  0.126
Gulliver_3        -0.100  0.013
Gulliver_30       -0.048  0.139
Gulliver_31        0.148  0.079
Gulliver_32       -0.166  0.187
Gulliver_33        0.130  0.102
Gulliver_35        0.267  0.084
Gulliver_36        0.065  0.126
Gulliver_37        0.310  0.155
Gulliver_39       -0.054  0.135
Gulliver_4        -0.213  0.391
Gulliver_40        0.133  0.097
Gulliver_43        0.194  0.181
Gulliver_44        0.102  0.120
Gulliver_45       -0.103  0.053
Gulliver_46        0.175  0.101
Gulliver_47       -0.106  0.061
Gulliver_5         0.069  0.195
Gulliver_50        0.207  0.111
Gulliver_51        0.102  0.118
Gulliver_52        0.103  0.140
Gulliver_53       -0.072  0.093
Gulliver_54       -0.151  0.079
Gulliver_55        0.112  0.134
Gulliver_56       -0.100  0.047
Gulliver_57        0.202  0.147
Gulliver_58        0.257  0.161
Gulliver_59        0.127  0.091
Gulliver_6        -0.100  0.006
Gulliver_60       -0.031  0.132
Gulliver_7        -0.123  0.223
Gulliver_8         0.071  0.093
Gulliver_9        -0.038  0.067
Haffner_10         0.308  0.067
Haffner_11        -0.155  0.084
Haffner_13         0.086  0.045
Haffner_14        -0.056  0.079
Haffner_15        -0.355  0.432
Haffner_16        -0.160  0.127
Haffner_17         0.338  0.147
Haffner_19        -0.210  0.159
Haffner_20        -0.103  0.145
Haffner_22        -0.347  0.101
Haffner_23        -0.091  0.049
Haffner_26        -0.121  0.069
Haffner_3         -0.115  0.073
Haffner_4         -0.126  0.016
Haffner_5         -0.103  0.107
Haffner_6         -0.183  0.094
Haffner_7         -0.130  0.178
Haffner_8         -0.078  0.098
Haffner_9         -0.172  0.071
Harvard_10        -0.004  0.104
Harvard_13         0.143  0.111
Harvard_16         0.181  0.086
Harvard_20         0.005  0.117
Harvard_5          0.078  0.136
Hogg_10            0.017  0.123
Hogg_16            0.110  0.141
Hogg_17            0.209  0.171
Hogg_18           -0.018  0.080
Hogg_19            0.098  0.210
Hogg_21            0.169  0.052
Hogg_22            0.120  0.081
Hogg_4            -0.044  0.115
IC_1311            0.143  0.083
IC_1369           -0.023  0.010
IC_1396           -0.023  0.107
IC_1434           -0.158  0.218
IC_1442           -0.100  0.053
IC_1590           -0.157  0.140
IC_166             0.050  0.098
IC_1805            0.310  0.024
IC_1848           -0.100  0.114
IC_2157           -0.098  0.055
IC_2391            0.000  0.011
IC_2395           -0.007  0.060
IC_2488            0.094  0.078
IC_2581            0.010  0.139
IC_2602           -0.016  0.012
IC_2714            0.040  0.032
IC_2948            0.026  0.220
IC_348             0.302  0.264
IC_361            -0.248  0.048
IC_4651            0.120  0.039
IC_4665           -0.005  0.032
IC_4725            0.169  0.051
IC_4756            0.006  0.034
IC_4996            0.182  0.237
IC_5146           -0.010  0.018
Ivanov_4          -0.195  0.201
Juchert_1          0.286  0.268
Juchert_13         0.141  0.103
Juchert_19        -0.212  0.206
Juchert_20        -0.141  0.075
Juchert_9         -0.248  0.161
Juchert_Saloran_1 -0.101  0.078
Kharchenko_1      -0.140  0.114
King_1             0.105  0.117
King_10            0.133  0.179
King_11           -0.176  0.081
King_12           -0.080  0.152
King_13           -0.174  0.086
King_14           -0.048  0.095
King_15            0.000  0.209
King_16            0.138  0.111
King_17           -0.285  0.052
King_18           -0.083  0.107
King_19           -0.100  0.105
King_20            0.157  0.108
King_21            0.028  0.110
King_23           -0.181  0.086
King_25            0.430  0.091
King_26            0.318  0.235
King_4            -0.042  0.078
